2024-12-05 02:35:54,281 p=1579080 u=root n=ansible | TASK [echo -n > output.log] *************************************************************************************************************************************************************************
2024-12-05 02:43:44,815 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.1)
2024-12-05 02:43:45,086 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.2)
2024-12-05 02:43:45,361 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.3)
2024-12-05 02:43:45,623 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.0)
2024-12-05 02:43:45,885 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.1)
2024-12-05 02:43:46,182 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.2)
2024-12-05 02:43:46,435 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.3)
2024-12-05 02:43:46,689 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.4)
2024-12-05 02:43:46,941 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.5)
2024-12-05 02:43:47,214 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.6)
2024-12-05 02:43:47,467 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.7)
2024-12-05 02:43:47,713 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.8)
2024-12-05 02:43:47,989 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.9)
2024-12-05 02:43:48,238 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.10)
2024-12-05 02:43:48,544 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.11)
2024-12-05 02:43:49,153 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy .env with link from template to each version directory] ************************************************************************************************************
2024-12-05 02:43:49,153 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.2)
2024-12-05 02:43:49,661 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.4)
2024-12-05 02:43:50,161 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.5)
2024-12-05 02:43:50,637 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.6)
2024-12-05 02:43:51,125 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.7)
2024-12-05 02:43:51,649 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.8)
2024-12-05 02:43:52,131 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.9)
2024-12-05 02:43:52,635 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.10)
2024-12-05 02:43:53,146 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.1)
2024-12-05 02:43:53,656 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.2)
2024-12-05 02:43:54,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.3)
2024-12-05 02:43:54,736 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.4)
2024-12-05 02:43:55,237 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.5)
2024-12-05 02:43:55,730 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.6)
2024-12-05 02:43:56,231 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.7)
2024-12-05 02:43:56,740 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.8)
2024-12-05 02:43:57,216 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.9)
2024-12-05 02:43:57,739 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.0)
2024-12-05 02:43:58,266 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.1)
2024-12-05 02:43:58,740 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.2)
2024-12-05 02:43:59,214 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.3)
2024-12-05 02:43:59,719 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.4)
2024-12-05 02:44:00,235 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.5)
2024-12-05 02:44:00,805 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.6)
2024-12-05 02:44:01,294 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.7)
2024-12-05 02:44:01,773 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.8)
2024-12-05 02:44:02,335 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.0)
2024-12-05 02:44:02,921 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.1)
2024-12-05 02:44:03,571 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.2)
2024-12-05 02:44:04,172 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.3)
2024-12-05 02:44:04,718 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.4)
2024-12-05 02:44:05,220 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.5)
2024-12-05 02:44:05,759 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.6)
2024-12-05 02:44:06,312 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.7)
2024-12-05 02:44:06,872 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.0)
2024-12-05 02:44:07,465 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.1)
2024-12-05 02:44:08,040 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.2)
2024-12-05 02:44:08,632 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.3)
2024-12-05 02:44:09,142 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.4)
2024-12-05 02:44:09,630 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.6)
2024-12-05 02:44:10,108 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.7)
2024-12-05 02:44:10,620 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.8)
2024-12-05 02:44:11,099 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.9)
2024-12-05 02:44:11,622 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.0)
2024-12-05 02:44:12,101 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.1)
2024-12-05 02:44:12,594 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.2)
2024-12-05 02:44:13,079 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.3)
2024-12-05 02:44:13,558 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.4)
2024-12-05 02:44:14,055 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.5)
2024-12-05 02:44:14,625 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.6)
2024-12-05 02:44:15,170 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.7)
2024-12-05 02:44:15,663 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.8)
2024-12-05 02:44:16,152 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.9)
2024-12-05 02:44:16,642 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.1)
2024-12-05 02:44:17,128 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.2)
2024-12-05 02:44:17,612 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.3)
2024-12-05 02:44:18,093 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.4)
2024-12-05 02:44:18,578 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.5)
2024-12-05 02:44:19,112 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.6)
2024-12-05 02:44:19,596 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.0)
2024-12-05 02:44:20,062 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.1)
2024-12-05 02:44:20,558 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.2)
2024-12-05 02:44:21,032 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.3)
2024-12-05 02:44:21,503 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.4)
2024-12-05 02:44:21,978 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.0)
2024-12-05 02:44:22,466 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.1)
2024-12-05 02:44:22,944 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.2)
2024-12-05 02:44:23,433 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.3)
2024-12-05 02:44:23,922 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.4)
2024-12-05 02:44:24,407 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.0)
2024-12-05 02:44:24,896 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.1)
2024-12-05 02:44:25,373 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.2)
2024-12-05 02:44:25,860 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.0)
2024-12-05 02:44:26,353 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.1)
2024-12-05 02:44:26,848 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.2)
2024-12-05 02:44:27,335 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.3)
2024-12-05 02:44:27,853 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.4)
2024-12-05 02:44:28,371 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.1)
2024-12-05 02:44:28,883 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.2)
2024-12-05 02:44:29,388 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.3)
2024-12-05 02:44:29,855 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.11.4)
2024-12-05 02:44:30,370 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.0)
2024-12-05 02:44:30,859 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.1)
2024-12-05 02:44:31,385 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.2)
2024-12-05 02:44:31,904 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.3)
2024-12-05 02:44:32,400 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.12.4)
2024-12-05 02:44:32,888 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.0)
2024-12-05 02:44:33,385 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.1)
2024-12-05 02:44:33,946 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.3)
2024-12-05 02:44:34,445 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.4)
2024-12-05 02:44:34,943 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.5)
2024-12-05 02:44:35,421 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.13.6)
2024-12-05 02:44:35,900 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.0)
2024-12-05 02:44:36,389 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.1)
2024-12-05 02:44:36,880 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.2)
2024-12-05 02:44:37,396 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.3)
2024-12-05 02:44:37,954 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.14.4)
2024-12-05 02:44:38,476 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.0)
2024-12-05 02:44:38,984 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.1)
2024-12-05 02:44:39,513 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.2)
2024-12-05 02:44:40,030 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.15.3)
2024-12-05 02:44:40,562 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.0)
2024-12-05 02:44:41,090 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.1)
2024-12-05 02:44:41,621 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.2)
2024-12-05 02:44:42,155 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.3)
2024-12-05 02:44:42,689 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.4)
2024-12-05 02:44:43,181 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.5)
2024-12-05 02:44:43,680 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.6)
2024-12-05 02:44:44,165 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.7)
2024-12-05 02:44:44,686 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.8)
2024-12-05 02:44:45,177 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.9)
2024-12-05 02:44:45,673 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.10)
2024-12-05 02:44:46,166 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.16.11)
2024-12-05 02:44:46,726 p=1579080 u=root n=ansible | TASK [atlassian.bitbucket : Copy docker-compose.yml from template to each version directory] ********************************************************************************************************
2024-12-05 02:44:46,727 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.2)
2024-12-05 02:44:47,198 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.4)
2024-12-05 02:44:47,677 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.5)
2024-12-05 02:44:48,145 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.6)
2024-12-05 02:44:48,629 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.7)
2024-12-05 02:44:49,113 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.8)
2024-12-05 02:44:49,589 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.9)
2024-12-05 02:44:50,071 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.0.10)
2024-12-05 02:44:50,549 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.1)
2024-12-05 02:44:51,030 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.2)
2024-12-05 02:44:51,514 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.3)
2024-12-05 02:44:51,984 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.4)
2024-12-05 02:44:52,466 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.5)
2024-12-05 02:44:52,937 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.6)
2024-12-05 02:44:53,411 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.7)
2024-12-05 02:44:53,886 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.8)
2024-12-05 02:44:54,366 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.1.9)
2024-12-05 02:44:54,847 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.0)
2024-12-05 02:44:55,317 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.1)
2024-12-05 02:44:55,783 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.2)
2024-12-05 02:44:56,267 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.3)
2024-12-05 02:44:56,746 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.4)
2024-12-05 02:44:57,225 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.5)
2024-12-05 02:44:57,730 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.6)
2024-12-05 02:44:58,200 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.7)
2024-12-05 02:44:58,679 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.2.8)
2024-12-05 02:44:59,154 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.0)
2024-12-05 02:44:59,633 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.1)
2024-12-05 02:45:00,172 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.2)
2024-12-05 02:45:00,697 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.3)
2024-12-05 02:45:01,169 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.4)
2024-12-05 02:45:01,680 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.5)
2024-12-05 02:45:02,236 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.6)
2024-12-05 02:45:02,817 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.3.7)
2024-12-05 02:45:03,351 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.0)
2024-12-05 02:45:03,886 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.1)
2024-12-05 02:45:04,508 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.2)
2024-12-05 02:45:05,029 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.3)
2024-12-05 02:45:05,588 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.4)
2024-12-05 02:45:06,128 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.6)
2024-12-05 02:45:06,674 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.7)
2024-12-05 02:45:07,242 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.8)
2024-12-05 02:45:07,762 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.4.9)
2024-12-05 02:45:08,285 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.0)
2024-12-05 02:45:08,785 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.1)
2024-12-05 02:45:09,295 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.2)
2024-12-05 02:45:09,778 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.3)
2024-12-05 02:45:10,281 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.4)
2024-12-05 02:45:10,767 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.5)
2024-12-05 02:45:11,248 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.6)
2024-12-05 02:45:11,724 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.7)
2024-12-05 02:45:12,202 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.8)
2024-12-05 02:45:12,705 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.5.9)
2024-12-05 02:45:13,230 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.1)
2024-12-05 02:45:13,736 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.2)
2024-12-05 02:45:14,221 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.3)
2024-12-05 02:45:14,715 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.4)
2024-12-05 02:45:15,194 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.5)
2024-12-05 02:45:15,733 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.6.6)
2024-12-05 02:45:16,209 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.0)
2024-12-05 02:45:16,688 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.1)
2024-12-05 02:45:17,166 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.2)
2024-12-05 02:45:17,666 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.3)
2024-12-05 02:45:18,160 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.7.4)
2024-12-05 02:45:18,657 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.0)
2024-12-05 02:45:19,126 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.1)
2024-12-05 02:45:19,636 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.2)
2024-12-05 02:45:20,173 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.3)
2024-12-05 02:45:20,671 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.8.4)
2024-12-05 02:45:21,170 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.0)
2024-12-05 02:45:21,707 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.1)
2024-12-05 02:45:22,186 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.9.2)
2024-12-05 02:45:22,708 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.0)
2024-12-05 02:45:23,205 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.1)
2024-12-05 02:45:23,679 p=1579080 u=root n=ansible | changed: [localhost] => (item=5.10.2)
